nohup: ignoring input
device = cuda, kinematic_prior = True, N in [20, 50], max_steps = 1000
iter    1/500 | return -334.785 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.8323 | pi_loss  1.3089 | v_loss 24.0640 | elapsed  186.7s
iter    5/500 | return -295.353 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 1.2357 | pi_loss  0.3145 | v_loss  4.3213 | elapsed  947.4s
iter   10/500 | return -332.538 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.9725 | pi_loss  0.2583 | v_loss  6.0740 | elapsed 1896.8s
iter   15/500 | return -325.602 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7538 | pi_loss  0.1709 | v_loss  6.4392 | elapsed 2835.7s
iter   20/500 | return -309.454 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.8757 | pi_loss  0.2723 | v_loss  7.3811 | elapsed 3789.8s
iter   25/500 | return -352.740 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.5708 | pi_loss  0.1305 | v_loss  7.5813 | elapsed 4723.6s
iter   30/500 | return -388.242 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.4017 | pi_loss  0.1652 | v_loss  8.9239 | elapsed 5661.0s
iter   35/500 | return -323.901 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.6005 | pi_loss  0.0945 | v_loss  8.3110 | elapsed 6577.8s
iter   40/500 | return -321.507 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.6530 | pi_loss  0.0679 | v_loss  6.9437 | elapsed 7517.5s
iter   45/500 | return -334.173 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.9399 | pi_loss  0.1061 | v_loss  7.4118 | elapsed 8460.4s
iter   50/500 | return -390.802 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.6454 | pi_loss  0.1791 | v_loss 12.5771 | elapsed 9395.4s
iter   55/500 | return -345.762 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.8535 | pi_loss  0.0508 | v_loss  6.4213 | elapsed 10332.7s
iter   60/500 | return -306.297 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.6189 | pi_loss  0.0329 | v_loss  5.9889 | elapsed 11293.4s
